agency_id,route_id,route_name
DIMTS,604,129LSTLDOWN
DIMTS,476,926AUP
DIMTS,982,171STLDOWN
DIMTS,1269,147UP
DIMTS,2125,102UP
DIMTS,2012,859STLUP
DIMTS,10423,(+)OUTERMUDRIKA
DIMTS,10032,605DOWN
DIMTS,159,128DOWN
DIMTS,1854,260STLUP
DIMTS,10424,990STLDOWN2
DIMTS,1183,113STLDOWN
DIMTS,10034,433UP
DIMTS,1908,227ASTLUP
DIMTS,10425,205LINKSTLDOWN
DIMTS,1603,819UP
DIMTS,10426,905STLDWN
DIMTS,10427,218LSTLUP
DIMTS,479,73DOWN
DIMTS,10428,MC715DOWN
DIMTS,1621,824UP
DIMTS,2102,949AUP
DIMTS,10429,MC127STLUP
DIMTS,10036,RL-77BDOWN
DIMTS,10430,717CUP3
DIMTS,10431,990STLUP2
DIMTS,10432,801LINKSTLDOWN
DIMTS,1251,981UP
DIMTS,10433,103EDOWN
DIMTS,6,790AUP2
DIMTS,478,147STLUP
DIMTS,10434,794LSTLDOWN
DIMTS,632,919STLUP
DIMTS,2018,469DOWN
DIMTS,684,113AUP
DIMTS,10037,511DOWN
DIMTS,1418,412STLUP
DIMTS,10435,214ADOWN
DIMTS,1707,354DOWN
DIMTS,1303,307UP
DIMTS,1795,717AUP
DIMTS,10038,845UP
DIMTS,10436,172EUP
DIMTS,10437,131AUP2
DIMTS,10438,310STLDOWN
DIMTS,10439,Â 702DOWN
DIMTS,1697,836EUP
DIMTS,10440,764AUP2
DIMTS,10441,717CUP2
DIMTS,464,752DOWN
DIMTS,1948,107DOWN
DIMTS,92,261DOWN
DIMTS,10442,824LNKSTLUP2
DIMTS,1226,861AUP
DIMTS,1804,434DOWN
DIMTS,10443,844STLUP2
DIMTS,1756,473CLDOWN
DIMTS,10444,ML96DOWN
DIMTS,1425,456DOWN
DIMTS,1791,144ADOWN
DIMTS,731,227UP
DIMTS,1304,998UP
DIMTS,1658,213DOWN
DIMTS,579,165DOWN
DIMTS,473,175DOWN
DIMTS,1622,126UP
DIMTS,10445,863AUP2
DIMTS,10039,845DOWN
DIMTS,240,878UP
DIMTS,10040,OMS(-)
DIMTS,31,834STLDOWN
DIMTS,1893,753UP
DIMTS,10446,103EUP
DIMTS,1008,944LSTLDOWN
DIMTS,456,926STLUP
DIMTS,10447,989ADOWN
DIMTS,10448,CBD1-DOWN
DIMTS,993,885UP
DIMTS,995,137AUP
DIMTS,527,133DOWN
DIMTS,281,946UP
DIMTS,528,628UP
DIMTS,1081,776DOWN
DIMTS,1489,311ADOWN
DIMTS,10449,RL-77EXTSTLDOWN
DIMTS,449,578DOWN
DIMTS,667,568DOWN
DIMTS,10041,921EXTUP
DIMTS,68,119LNKSTLUP
DIMTS,676,434UP
DIMTS,10450,972BSTLDOWN
DIMTS,10451,833STLDOWN
DIMTS,809,871DOWN
DIMTS,738,317STLDOWN
DIMTS,612,708UP
DIMTS,10452,588LSTLUP
DIMTS,10453,191DWN
DIMTS,338,237DOWN
DIMTS,619,227DOWN
DIMTS,1117,239UP
DIMTS,248,102STLUP
DIMTS,10454,214AUP
DIMTS,525,281UP
DIMTS,148,141DOWN
DIMTS,10045,954DOWN
DIMTS,1541,822STLUP
DIMTS,1062,944DOWN
DIMTS,10455,724BUP3
DIMTS,10456,MC715STLDOWN
DIMTS,242,148ADOWN
DIMTS,10457,172BUP
DIMTS,10046,RL-79UP
DIMTS,10458,567BUP2
DIMTS,10459,CENTRALSECRETARIAT-PMS
DIMTS,2122,175STLUP
DIMTS,727,588UP
DIMTS,1892,174STLUP
DIMTS,1484,817EXTUP
DIMTS,1616,205LINKSTLUP
DIMTS,719,817NUP
DIMTS,811,885DOWN
DIMTS,66,227ADOWN
DIMTS,899,CUP 770.00
DIMTS,10049,S-1STLUP
DIMTS,10460,721BDOWN
DIMTS,10461,817LNSKDOWN
DIMTS,1239,801LSTLUP
DIMTS,375,258UP
DIMTS,518,953LSTLUP
DIMTS,896,73UP
DIMTS,760,370DOWN
DIMTS,1591,218DOWN
DIMTS,1931,962UP
DIMTS,1482,141STLDOWN
DIMTS,10462,992DWN
DIMTS,1336,AIR-05STLDOWN
DIMTS,10463,991STLDOWN
DIMTS,1118,711UP
DIMTS,10464,172ESTLUP
DIMTS,1044,885STLDOWN
DIMTS,166,792DOWN
DIMTS,932,114STLDOWN
DIMTS,1654,193ADOWN
DIMTS,323,378UP
DIMTS,1088,926DOWN
DIMTS,423,123UP
DIMTS,2039,378STLDOWN
DIMTS,422,878DOWN
DIMTS,487,85AEXTUP
DIMTS,428,901CLDOWN
DIMTS,2097,956STLUP
DIMTS,436,267UP
DIMTS,10465,990BUP
DIMTS,1315,109STLUP
DIMTS,10466,568ADOWN
DIMTS,10467,356STLDOWN2
DIMTS,10468,540CLUP
DIMTS,1985,412UP
DIMTS,991,838UP
DIMTS,626,148DOWN
DIMTS,311,628LSTLUP
DIMTS,10469,938BDOWN
DIMTS,10470,819STLDOWN2
DIMTS,1090,158DOWN
DIMTS,10471,567ADOWN2
DIMTS,10472,MC127STLDOWN
DIMTS,10473,131STLDOWN2
DIMTS,10474,Â CENTRALSECRETARIATCIRCULARSERVICE
DIMTS,712,419DOWN
DIMTS,347,885STLUP
DIMTS,522,334DOWN
DIMTS,1244,174LSTLDOWN
DIMTS,1859,522CLUP
DIMTS,548,511ASTLDOWN
DIMTS,10475,717CDOWN3
DIMTS,10476,307LNKSTLUP
DIMTS,10477,281ADOWN
DIMTS,19,770AUP
DIMTS,10478,141STLDOWN2
DIMTS,1211,193DOWN
DIMTS,889,818AUP
DIMTS,875,972DOWN
DIMTS,1550,918UP
DIMTS,1580,923ADOWN
DIMTS,10479,191STLDWN2
DIMTS,1429,962DOWN
DIMTS,585,817NDOWN
DIMTS,1801,722DOWN
DIMTS,10480,AIR-08STLDOWN
DIMTS,10481,172EDOWN
DIMTS,10482,949STLDOWN2
DIMTS,10483,764ADOWN2
DIMTS,2021,137STLUP
DIMTS,10484,729EUP2
DIMTS,1672,270STLDOWN
DIMTS,1321,236BDOWN
DIMTS,2069,109AUP
DIMTS,332,AIRPORTEXP08DOWN
DIMTS,10485,717CDOWN2
DIMTS,26,353STLDOWN
DIMTS,285,85DOWN
DIMTS,222,258STLUP
DIMTS,427,979UP
DIMTS,10486,AIR-08DOWN
DIMTS,10487,Â 717UP2
